total number of customers ,Revenue ,Total _duration ,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,stays_in_week_nights,arrival_date_day_of_month,stays_in_weekend_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
1,38,1,Resort Hotel,1,8,2016,February,9,1,24,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,87,86,0,Transient,38,0,0,Canceled,2016-02-16
1,30,1,Resort Hotel,0,0,2016,March,10,1,3,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,286,0,Transient,30,0,0,Check-Out,2016-03-04
2,70,2,Resort Hotel,1,11,2016,March,11,1,7,1,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,82,0,Transient,35,0,0,No-Show,2016-03-07
1,30,1,Resort Hotel,1,12,2016,March,11,1,8,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,82,0,Transient,30,0,0,Canceled,2016-02-29
1,40,1,Resort Hotel,1,0,2016,March,12,0,14,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,87,218,0,Transient,40,0,0,Canceled,2016-03-14
1,60,2,Resort Hotel,0,1,2016,March,12,2,15,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,88,0,Transient,30,0,0,Check-Out,2016-03-17
1,30,1,Resort Hotel,1,1,2016,March,12,1,16,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,113,0,Transient,30,0,0,Canceled,2016-03-16
1,30,1,Resort Hotel,1,2,2016,March,12,1,17,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,31,0,Transient,30,0,0,Canceled,2016-03-16
1,40,1,Resort Hotel,1,11,2016,March,13,0,20,1,1,0,0,BB,PRT,Direct,Corporate,0,0,0,A,A,0,No Deposit,87,174,0,Transient,40,0,0,Canceled,2016-03-19
1,360,6,Resort Hotel,0,167,2016,March,14,5,29,1,1,0,0,BB,GBR,Groups,Direct,0,0,0,A,D,2,No Deposit,87,223,0,Transient-Party,60,0,0,Check-Out,2016-04-04
